,dataset_name,xgb_mean,xgb_std,xgb_time,ebm_no_interactions_mean,ebm_no_interactions_std,ebm_no_interactions_time,ebm_mean,ebm_std,ebm_time
0,feynman_I_6_2b,0.9966707155268347,0.0002610458125170672,25.995540142059326,0.7305697864113737,0.010095276766232033,14.045011043548584,0.8959384758990065,0.003685645195425174,27.377342462539673
1,feynman_I_8_14,0.9891416233053615,0.000397050279929051,31.51233458518982,0.22859699602484898,0.011032033504615398,13.208467483520508,0.9661890076267443,0.00027245191238518677,45.140058755874634
2,feynman_I_9_18,0.9769004482739845,0.0005592880143979773,36.03111004829407,0.9099246331241696,0.002275164592086193,25.83630895614624,0.9451263670685309,0.0014745995126103954,56.847583293914795
3,feynman_I_10_7,0.999833902593666,5.225646899007067e-06,30.1983323097229,0.9965345785092415,0.00018705515644592524,10.022069931030273,0.9993976131531126,4.7051052567749125e-05,16.57258939743042
4,feynman_I_12_2,0.9933596482098203,0.0005532483400915751,30.406872749328613,0.6758684035064392,0.01080329049869133,12.147126913070679,0.9496915659239592,0.0033151685300491377,42.16486978530884
5,feynman_I_12_4,0.9979378412235166,0.00017104511005029425,29.689870595932007,0.7490313795419791,0.004568832440977907,9.999736070632935,0.9778356959249648,0.0011516502210658264,25.434001207351685
6,feynman_I_12_11,0.9964509245835711,0.00011321416058644622,32.73003315925598,0.6748749872427716,0.003699127438891994,14.543388843536377,0.9546059482077766,0.0006779796135334791,56.715105056762695
7,feynman_I_13_12,0.9917532241720934,0.00034230090136027627,33.187883615493774,0.65929821846195,0.004663910279805994,14.633790969848633,0.9506567901182921,0.0014159989706473825,65.66477990150452
8,feynman_I_14_3,0.9986809127584084,4.525057783887576e-05,30.472896814346313,0.8650064239543424,0.002197961191327617,10.248918771743774,0.9923634420018594,0.00021360255866222845,23.745957612991333
9,feynman_I_18_12,0.9991106663220325,1.622448685278064e-05,31.487602472305298,0.7604001721742135,0.002369914281556014,11.130715608596802,0.980924342571152,0.00025462591270633225,32.8776535987854
10,feynman_I_24_6,0.9962597913007084,0.00010006878319743753,31.440753698349,0.8641913929097387,0.0018891191566109478,12.936837196350098,0.992864344891254,0.00022225202515137074,38.8875732421875
11,feynman_I_29_16,0.9832728450187641,0.0008881814434791351,31.651039123535156,0.29798838398552685,0.007059534493231935,12.392868995666504,0.9023948763858509,0.002095346874906667,81.81946778297424
12,feynman_I_30_5,0.9985090279716295,5.974806776015549e-05,31.860217094421387,0.9054665932539034,0.0037268231634183776,9.57603669166565,0.994650185316661,0.000536230429211228,23.0935218334198
13,feynman_I_32_5,0.9883781556854652,0.0010165252203856025,30.570184230804443,0.4436664932884403,0.014897350663624527,11.81482481956482,0.8351011705307816,0.00854076800776831,40.087921142578125
14,feynman_I_34_8,0.9949102629262212,0.00026581668270152725,33.859790086746216,0.7807647099158272,0.004286949225486003,12.207671880722046,0.9752663789392957,0.0007633700646881959,41.71024417877197
15,feynman_I_34_1,0.9990666639175643,5.042376501531504e-05,30.40825915336609,0.9552654324705492,0.0012993716075066534,10.008857011795044,0.9963561679089711,0.00021182638384410058,21.482409238815308
16,feynman_I_37_4,0.9988507368178798,4.4384495013660996e-05,29.939197540283203,0.9265152303859562,0.0006555208414152587,11.90152359008789,0.9962257526752506,0.00010288679866738912,33.05650281906128
17,feynman_I_38_12,0.9926686185637749,0.0004567706021840659,30.69996166229248,0.5787794922739815,0.015849178156579952,12.522530317306519,0.9125780685746919,0.006010818388397054,43.82694411277771
18,feynman_I_39_11,0.9984152701458717,7.164155032764564e-05,30.17185688018799,0.8595524931984514,0.0019691311863113785,9.974220275878906,0.9916998031699416,0.0002625094260198946,24.092639207839966
19,feynman_I_39_22,0.994827637990858,0.0002729657677812438,31.303428411483765,0.7806563472282934,0.005626959438413108,12.336475849151611,0.9752381078798118,0.0008409509907724593,40.72096276283264
20,feynman_I_40_1,0.9806149216255349,0.0008085130853936966,32.95992112159729,0.7363615210354442,0.002951975309754397,16.916815280914307,0.89864601368159,0.0029321362565474258,59.841904163360596
